epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4172.24,1.34341,1.0616,0.01022,0.82481,0.7726,0.84841,0.5178,1.373,0.81379,0.01321,0.000996313,0.000996313,0.000996313
43,4271.11,1.34696,1.05402,0.01043,0.8344,0.78004,0.85112,0.52708,1.34881,0.81309,0.01284,0.000990125,0.000990125,0.000990125
44,4369.67,1.34115,1.03533,0.01051,0.83688,0.80263,0.86089,0.52899,1.35238,0.74981,0.01309,0.000983938,0.000983938,0.000983938
45,4468.56,1.33017,1.02004,0.01033,0.84338,0.80161,0.86967,0.54691,1.31729,0.76796,0.01251,0.00097775,0.00097775,0.00097775
46,4567.45,1.30457,0.97539,0.01018,0.83154,0.77905,0.85249,0.53705,1.32212,0.7402,0.01266,0.000971562,0.000971562,0.000971562
47,4666.19,1.32546,0.9801,0.01028,0.85082,0.78179,0.85875,0.54871,1.31829,0.78513,0.01255,0.000965375,0.000965375,0.000965375
48,4764.95,1.29602,0.98968,0.00997,0.83628,0.80915,0.86739,0.56003,1.3015,0.73606,0.01241,0.000959187,0.000959187,0.000959187
49,4863.56,1.29682,0.99767,0.0104,0.84162,0.80722,0.86545,0.55023,1.30625,0.75902,0.01242,0.000953,0.000953,0.000953
50,4962.03,1.27891,0.94938,0.00991,0.84904,0.78956,0.85941,0.55442,1.28571,0.70937,0.0121,0.000946812,0.000946812,0.000946812
51,5060.76,1.26292,0.94211,0.00941,0.85444,0.81429,0.88105,0.57788,1.25229,0.6981,0.01179,0.000940625,0.000940625,0.000940625
52,5158.97,1.27171,0.96684,0.0096,0.8663,0.81897,0.88112,0.58029,1.25577,0.66708,0.01185,0.000934438,0.000934438,0.000934438
53,5257.99,1.24339,0.91911,0.00983,0.86068,0.8015,0.87563,0.58585,1.24345,0.73504,0.01174,0.00092825,0.00092825,0.00092825
54,5357.36,1.2627,0.93777,0.00968,0.86674,0.82912,0.88294,0.58378,1.26059,0.68667,0.01199,0.000922063,0.000922063,0.000922063
55,5456.64,1.23582,0.89051,0.00949,0.86501,0.82806,0.8921,0.59841,1.24503,0.65255,0.01167,0.000915875,0.000915875,0.000915875
56,5555.49,1.22297,0.86931,0.00907,0.88096,0.81908,0.88974,0.59755,1.21556,0.67329,0.01157,0.000909688,0.000909688,0.000909688
57,5654.68,1.2228,0.8976,0.00963,0.88308,0.82564,0.89669,0.60314,1.20629,0.643,0.01139,0.0009035,0.0009035,0.0009035
58,5753.68,1.22287,0.85893,0.00915,0.87426,0.84453,0.89746,0.61113,1.19708,0.63747,0.01131,0.000897313,0.000897313,0.000897313
59,5852.53,1.19844,0.87321,0.00927,0.87638,0.82529,0.90102,0.60133,1.18438,0.63927,0.01119,0.000891125,0.000891125,0.000891125
60,5951.35,1.19687,0.85791,0.00892,0.85752,0.84227,0.89751,0.6026,1.19604,0.65547,0.01153,0.000884938,0.000884938,0.000884938
61,6050.64,1.17968,0.84511,0.00901,0.8882,0.83695,0.9083,0.62955,1.16201,0.60805,0.01092,0.00087875,0.00087875,0.00087875
62,6149.82,1.19234,0.87196,0.00928,0.90269,0.82624,0.89808,0.6208,1.16842,0.59964,0.01096,0.000872563,0.000872563,0.000872563
63,6249.82,1.16765,0.83545,0.00895,0.87695,0.83762,0.90293,0.61254,1.17717,0.63117,0.01116,0.000866375,0.000866375,0.000866375
64,6348.78,1.17119,0.84152,0.0091,0.8797,0.84835,0.90891,0.62594,1.1323,0.59663,0.0107,0.000860188,0.000860188,0.000860188
65,6447.3,1.14793,0.79882,0.00877,0.88573,0.84648,0.90946,0.62379,1.13534,0.59285,0.01074,0.000854,0.000854,0.000854
66,6545.84,1.14605,0.81533,0.00887,0.87934,0.85733,0.91113,0.63554,1.12105,0.58472,0.0106,0.000847813,0.000847813,0.000847813
67,6644.52,1.13849,0.78391,0.00852,0.90991,0.84371,0.91359,0.64099,1.11173,0.579,0.01043,0.000841625,0.000841625,0.000841625
68,6743.11,1.14051,0.79888,0.00868,0.88076,0.87646,0.91541,0.64759,1.10216,0.58299,0.01036,0.000835438,0.000835438,0.000835438
69,6842.21,1.12514,0.76856,0.0084,0.89819,0.86477,0.91562,0.6515,1.08841,0.56693,0.0102,0.00082925,0.00082925,0.00082925
70,6941.56,1.12531,0.79121,0.00866,0.88786,0.87254,0.92019,0.65449,1.08549,0.56189,0.01012,0.000823063,0.000823063,0.000823063
71,7040.92,1.12253,0.79922,0.00864,0.89976,0.8631,0.9143,0.65292,1.08225,0.55754,0.01023,0.000816875,0.000816875,0.000816875
