epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.53,1.79993,2.59923,1.78395,0.12079,0.22564,0.08626,0.03675,1.94824,3.66007,2.00768,0.000414474,0.000414474,0.000414474
2,208.117,1.84849,2.29691,1.82127,0.26173,0.23734,0.16475,0.07084,1.90435,2.6289,1.94281,0.000827026,0.000827026,0.000827026
3,298.017,1.8485,2.30787,1.85059,0.19917,0.2694,0.16793,0.0708,1.92,2.34094,1.97708,0.00123545,0.00123545,0.00123545
4,386.487,1.83476,2.22285,1.82747,0.18845,0.27303,0.15347,0.06408,1.9932,2.66801,2.06825,0.00123144,0.00123144,0.00123144
5,475.418,1.75576,2.06354,1.76191,0.61029,0.21919,0.19791,0.08851,1.80249,2.41341,1.85545,0.00122525,0.00122525,0.00122525
6,563.065,1.75622,2.03695,1.76284,0.29603,0.3123,0.25667,0.11883,1.76346,2.09225,1.85139,0.00121906,0.00121906,0.00121906
7,650.78,1.72272,1.95609,1.74093,0.30747,0.34605,0.2692,0.12649,1.76362,2.10572,1.81091,0.00121287,0.00121287,0.00121287
8,738.615,1.71944,1.93961,1.72303,0.32522,0.33341,0.27735,0.12716,1.75234,1.96146,1.81316,0.00120669,0.00120669,0.00120669
9,826.473,1.70458,1.91673,1.74731,0.23983,0.30512,0.23004,0.10744,1.7864,2.0512,1.83081,0.0012005,0.0012005,0.0012005
10,913.8,1.69585,1.86018,1.72452,0.39954,0.41602,0.35824,0.17758,1.6778,1.72108,1.7582,0.00119431,0.00119431,0.00119431
11,1000.9,1.67605,1.80898,1.70196,0.38408,0.41939,0.36001,0.17382,1.71779,1.77216,1.80624,0.00118812,0.00118812,0.00118812
12,1087.72,1.63235,1.75851,1.67468,0.3617,0.42769,0.34257,0.1697,1.6978,1.78105,1.76226,0.00118194,0.00118194,0.00118194
13,1174.33,1.62091,1.72873,1.65511,0.37156,0.43429,0.34735,0.17315,1.66407,1.7969,1.762,0.00117575,0.00117575,0.00117575
14,1261.31,1.60487,1.65598,1.64631,0.48966,0.44743,0.44031,0.22581,1.6303,1.58559,1.70193,0.00116956,0.00116956,0.00116956
15,1348.26,1.59438,1.65067,1.6532,0.44925,0.47076,0.42159,0.2148,1.61949,1.65919,1.70472,0.00116337,0.00116337,0.00116337
16,1435.07,1.61811,1.69637,1.66204,0.48598,0.47033,0.46217,0.23834,1.63618,1.57033,1.72901,0.00115719,0.00115719,0.00115719
17,1521.71,1.5533,1.59096,1.60571,0.50879,0.43053,0.44254,0.22393,1.64925,1.69117,1.71926,0.001151,0.001151,0.001151
18,1608.41,1.55937,1.58539,1.61279,0.57878,0.50357,0.51312,0.27201,1.60129,1.4622,1.68493,0.00114481,0.00114481,0.00114481
19,1694.7,1.5388,1.52294,1.59302,0.50721,0.50921,0.49474,0.25571,1.57731,1.50618,1.66743,0.00113863,0.00113863,0.00113863
20,1780.78,1.54324,1.50794,1.59937,0.54625,0.46882,0.49658,0.26046,1.59563,1.51339,1.69991,0.00113244,0.00113244,0.00113244
21,1867.34,1.55451,1.51828,1.60122,0.60114,0.52366,0.56985,0.30152,1.55117,1.39482,1.63698,0.00112625,0.00112625,0.00112625
22,1954.11,1.51181,1.45354,1.58891,0.57713,0.53835,0.57099,0.30149,1.57458,1.42266,1.67968,0.00112006,0.00112006,0.00112006
23,2040.44,1.51146,1.42952,1.58515,0.52494,0.5421,0.52939,0.27657,1.5612,1.54441,1.66781,0.00111388,0.00111388,0.00111388
24,2126.1,1.49475,1.41643,1.5695,0.60409,0.55728,0.59216,0.31948,1.52795,1.29229,1.6514,0.00110769,0.00110769,0.00110769
25,2211.1,1.4962,1.3693,1.56955,0.65501,0.58117,0.62913,0.34536,1.52303,1.34993,1.63571,0.0011015,0.0011015,0.0011015
26,2296.15,1.46788,1.36275,1.55422,0.63553,0.618,0.62642,0.35332,1.48,1.29523,1.60759,0.00109531,0.00109531,0.00109531
27,2381.03,1.45537,1.33529,1.54484,0.67593,0.58488,0.65895,0.36605,1.48119,1.22577,1.60134,0.00108913,0.00108913,0.00108913
28,2467.74,1.4431,1.30995,1.53772,0.7401,0.656,0.71116,0.40832,1.46609,1.15152,1.5953,0.00108294,0.00108294,0.00108294
29,2553.59,1.41712,1.24434,1.50704,0.66344,0.62226,0.66339,0.36782,1.48539,1.26668,1.59187,0.00107675,0.00107675,0.00107675
30,2639.52,1.42934,1.2693,1.51549,0.70038,0.61632,0.6876,0.39881,1.45007,1.20928,1.56876,0.00107056,0.00107056,0.00107056
31,2724.84,1.35569,1.19457,1.45396,0.6717,0.65933,0.70545,0.40293,1.45019,1.15988,1.57496,0.00106437,0.00106437,0.00106437
32,2810.38,1.39102,1.21715,1.49376,0.74916,0.64036,0.70729,0.41114,1.44615,1.15083,1.56921,0.00105819,0.00105819,0.00105819
33,2895.44,1.37225,1.22371,1.47719,0.72917,0.65088,0.72979,0.42694,1.44709,1.12706,1.57946,0.001052,0.001052,0.001052
34,2981.22,1.35653,1.17532,1.46606,0.75802,0.66972,0.74818,0.43609,1.41386,1.07917,1.53399,0.00104581,0.00104581,0.00104581
35,3066.98,1.35172,1.15038,1.46665,0.75025,0.7007,0.76525,0.45578,1.37187,1.0181,1.5193,0.00103962,0.00103962,0.00103962
